File Name,# of Datapoints,Integration Patterns,Task Specificity,Community and Collaboration,Maintenance,Compliance and Standards,Performance Improvements,Compatibility,Deprecation and Replacement,Project Evolution,Technical Debt and Simplification
result_file_import_allennlp_from_path_commits.json,23,6,2,0,11,0,1,2,0,0,0
result_file_import_asteroid_from_pretrained_commits.json,84,24,3,2,35,0,0,14,9,0,0
result_file_import_bertopic_load_commits.json,80,22,8,1,28,1,6,9,9,1,1
result_file_import_diffusers_from_pretrained_commits.json,640,69,14,1,254,11,5,44,55,1,1
result_file_import_fairseq_load_model_ensemble_and_task_from_hf_hub_commits.json,191,16,6,1,127,5,1,16,15,1,1
result_file_import_flair_load_commits.json,493,60,8,2,271,1,7,40,17,0,3
result_file_import_huggingface_hub_hf_hub_download_commits.json,547,90,7,1,270,1,8,49,47,0,1
result_file_import_huggingface_hub_load_commits.json,685,114,8,3,349,4,12,49,53,3,7
result_file_import_huggingface_sb3_load_from_hub_commits.json,8,0,0,0,5,0,0,0,1,0,0
result_file_import_nemo_from_pretrained_commits.json,225,39,13,0,101,0,7,10,11,0,0
result_file_import_open_clip_create_model_and_transforms_commits.json,416,84,14,2,150,4,22,45,21,2,4
result_file_import_open_clip_get_tokenizer_commits.json,148,47,9,3,53,3,10,14,7,3,3
result_file_import_paddlenlp_from_pretrained_commits.json,348,85,12,0,174,1,4,36,19,0,0
result_file_import_peft_from_pretrained_commits.json,641,138,13,4,294,2,11,65,39,1,3
result_file_import_pyannote_from_pretrained_commits.json,8,4,0,0,4,0,0,0,0,0,0
result_file_import_sentence_transformers_SentenceTransformer_commits.json,109,35,5,2,36,1,2,8,6,1,1
result_file_import_spacy_load_commits.json,533,57,11,3,267,2,9,58,35,2,3
result_file_import_speechbrain_from_hparams_commits.json,172,46,8,0,64,0,5,12,10,0,0
result_file_import_stanza_download_commits.json,529,122,23,1,249,0,11,56,15,0,1
result_file_import_stanza_Pipeline_commits.json,536,113,23,0,239,0,17,54,21,0,1
result_file_import_tensorflow_tts_from_pretrained_commits.json,56,22,9,0,10,0,3,2,1,0,0
result_file_import_timm_create_model_commits.json,609,92,19,2,318,3,15,58,60,3,2
